id,companyId,number,product,product_en,multiple,name,logo,product_img
225,74,"5","全脂奶粉
","Whole milk powder",0,"Teso foods","images/SME/Teso foods/","images/SME/Teso foods/5.jpg"
226,75,"1","阿甘油
","Argan oil",0,"PRIVA TRADING
","images/SME/PRIVA TRADING
/","images/SME/PRIVA TRADING
/1.jpg"
227,75,"2","仙人掌籽油
","Prickly pear seed oil",0,"PRIVA TRADING
","images/SME/PRIVA TRADING
/","images/SME/PRIVA TRADING
/2.jpg"
228,75,"3","花水","floral waters",0,"PRIVA TRADING
","images/SME/PRIVA TRADING
/","images/SME/PRIVA TRADING
/3.jpg"
229,75,"4","藏红花","Saffron",0,"PRIVA TRADING
","images/SME/PRIVA TRADING
/","images/SME/PRIVA TRADING
/4.jpg"
230,76,"1","泡打粉","Baking powder",0,"Societé Marocaine de Fabrication et Conditionnement","images/SME/Societé Marocaine de Fabrication et Conditionnement/","images/SME/Societé Marocaine de Fabrication et Conditionnement/1.jpg"
231,76,"2"," 汤类与高汤","Soups and broths",0,"Societé Marocaine de Fabrication et Conditionnement","images/SME/Societé Marocaine de Fabrication et Conditionnement/","images/SME/Societé Marocaine de Fabrication et Conditionnement/2.jpg"
232,76,"3","墨西哥薄饼","Tortilla",0,"Societé Marocaine de Fabrication et Conditionnement","images/SME/Societé Marocaine de Fabrication et Conditionnement/","images/SME/Societé Marocaine de Fabrication et Conditionnement/3.jpg"
233,76,"4","焦糖布丁","Flans",0,"Societé Marocaine de Fabrication et Conditionnement","images/SME/Societé Marocaine de Fabrication et Conditionnement/","images/SME/Societé Marocaine de Fabrication et Conditionnement/4.jpg"
234,76,"5","糕点奶油","Pastry cream",0,"Societé Marocaine de Fabrication et Conditionnement","images/SME/Societé Marocaine de Fabrication et Conditionnement/","images/SME/Societé Marocaine de Fabrication et Conditionnement/5.jpg"
235,76,"6","冰淇淋预拌粉","Ice cream mix",0,"Societé Marocaine de Fabrication et Conditionnement","images/SME/Societé Marocaine de Fabrication et Conditionnement/","images/SME/Societé Marocaine de Fabrication et Conditionnement/6.jpg"
236,76,"7","混合香料","Spices mix",0,"Societé Marocaine de Fabrication et Conditionnement","images/SME/Societé Marocaine de Fabrication et Conditionnement/","images/SME/Societé Marocaine de Fabrication et Conditionnement/7.jpg"
237,77,"1","木薯粉","Cassava flour",0,"Royal Winosa Industries Ltd","images/SME/Royal Winosa Industries Ltd/","images/SME/Royal Winosa Industries Ltd/1.jpg"
238,77,"2","淀粉","Starch",0,"Royal Winosa Industries Ltd","images/SME/Royal Winosa Industries Ltd/","images/SME/Royal Winosa Industries Ltd/2.jpg"
239,77,"3"," 木薯片","Chips",0,"Royal Winosa Industries Ltd","images/SME/Royal Winosa Industries Ltd/","images/SME/Royal Winosa Industries Ltd/3.jpg"
240,77,"4","大蕉粉","Plantain flour",0,"Royal Winosa Industries Ltd","images/SME/Royal Winosa Industries Ltd/","images/SME/Royal Winosa Industries Ltd/4.jpg"
241,77,"5","豆类面粉和香料","Beans flour and species ",0,"Royal Winosa Industries Ltd","images/SME/Royal Winosa Industries Ltd/","images/SME/Royal Winosa Industries Ltd/5.jpg"
242,78,"1","沙丁鱼和咖啡","Sardines and coffee",0,"MEGA Prime Foods Inc.","images/SME/MEGA Prime Foods Inc/","images/SME/MEGA Prime Foods Inc/1.jpg"
243,79,"1","泰国阿拉比卡咖啡","Thai Arabica Coffee",0,"Hillkoff co.,ltd.","images/SME/Hillkoff co.,ltd/","images/SME/Hillkoff co.,ltd/1.jpg"
244,79,"2","意式浓缩低碳咖啡","Espresso low carbon coffee",0,"Hillkoff co.,ltd.","images/SME/Hillkoff co.,ltd/","images/SME/Hillkoff co.,ltd/2.jpg"
245,79,"3","咖啡樱桃提取物","Coffee cherry extract",0,"Hillkoff co.,ltd.","images/SME/Hillkoff co.,ltd/","images/SME/Hillkoff co.,ltd/3.jpg"
246,79,"4","咖啡樱桃茶","Coffee cherry tea",0,"Hillkoff co.,ltd.","images/SME/Hillkoff co.,ltd/","images/SME/Hillkoff co.,ltd/4.jpg"
247,80,"1","罐装 / 袋装甜玉米粒","Canned/Pouch sweet corn kernels",0,"Lampang Food Products Co., Ltd.","images/SME/Lampang Food Products Co., Ltd/","images/SME/Lampang Food Products Co., Ltd/1.jpg"
248,80,"2","应季水果","Seasonal fruits",0,"Lampang Food Products Co., Ltd.","images/SME/Lampang Food Products Co., Ltd/","images/SME/Lampang Food Products Co., Ltd/2.jpg"
249,80,"3","糖棕籽","Sugar palm seed",0,"Lampang Food Products Co., Ltd.","images/SME/Lampang Food Products Co., Ltd/","images/SME/Lampang Food Products Co., Ltd/3.jpg"
250,80,"4","腌制品","Pickled items ",0,"Lampang Food Products Co., Ltd.","images/SME/Lampang Food Products Co., Ltd/","images/SME/Lampang Food Products Co., Ltd/4.jpg"
251,81,"1","咖啡","Coffee",0,"Mrutu Agro-Solutions Company Limited","images/SME/Mrutu Agro-Solutions Company Limited/","images/SME/Mrutu Agro-Solutions Company Limited/1.jpg"
252,81,"2","腰果","Cashew nuts",0,"Mrutu Agro-Solutions Company Limited","images/SME/Mrutu Agro-Solutions Company Limited/","images/SME/Mrutu Agro-Solutions Company Limited/2.jpg"
253,81,"3","香料","Spices",0,"Mrutu Agro-Solutions Company Limited","images/SME/Mrutu Agro-Solutions Company Limited/","images/SME/Mrutu Agro-Solutions Company Limited/3.jpg"
